Vehicle	Miles	Event
V1	399	Start
V1	821	End
V1	1611	Start
V1	2027	End
V1	3016	Start
V1	3421	End
V1	6596	Start
V1	7175	End
V1	10980	Start
V1	11253	Fail
V1	11512	End
V1	20447	Start
V1	20649	Fail
V1	20810	Fail
V1	20903	End
V2	360	Start
V2	868	End
V2	1644	Start
V2	2208	End
V2	3120	Start
V2	3579	End
V2	5865	Start
V2	6452	End
V2	12136	Start
V2	12222	Fail
V2	12702	Fail
V2	12703	Fail
V2	12704	End
V3	294	Start
V3	709	End
V3	1247	Start
V3	1745	End
V3	3165	Start
V3	3727	End
V3	5767	Start
V3	5964	Fail
V3	6173	End
V3	12549	Start
V3	12708	Fail
V3	12948	Fail
V3	13120	End
V3	21928	Start
V3	22299	Fail
V3	22527	End
V4	359	Start
V4	823	End
V4	1568	Start
V4	2074	End
V4	3273	Start
V4	3835	End
V4	6782	Start
V4	7213	End
V4	13095	Start
V4	13685	End
V5	393	Start
V5	797	End
V5	1405	Start
V5	1984	End
V5	3425	Start
V5	3986	End
V5	6092	Start
V5	6194	Fail
V5	6559	End
V5	9860	Start
V5	10293	End
V5	21758	Start
V5	21906	Fail
V5	22042	Fail
V5	22183	Fail
V5	22350	End
V6	381	Start
V6	793	End
V6	1479	Start
V6	2070	End
V6	3270	Start
V6	3848	End
V6	6427	Start
V6	6480	Fail
V6	6963	End
V6	11992	Start
V6	12444	Fail
V6	12447	End
V7	224	Start
V7	678	End
V7	1406	Start
V7	1903	End
V7	2815	Start
V7	3333	End
V7	6308	Start
V7	6323	Fail
V7	6718	End
V7	12472	Start
V7	12617	Fail
V7	12972	End
V7	22880	Start
V7	23065	Fail
V7	23263	Fail
V7	23305	Fail
V7	23339	End
V8	346	Start
V8	933	End
V8	1666	Start
V8	2076	End
V8	3088	Start
V8	3500	End
V8	5202	Start
V8	5642	End
V8	11333	Start
V8	11684	Fail
V8	11826	End
V8	18302	Start
V8	18627	Fail
V8	18804	End
V9	395	Start
V9	912	End
V9	1675	Start
V9	2166	End
V9	3749	Start
V9	4215	End
V9	6738	Start
V9	7293	End
V9	11054	Start
V9	11218	Fail
V9	11607	End
V9	20997	Start
V9	21428	End
V10	306	Start
V10	708	End
V10	1351	Start
V10	1915	End
V10	3377	Start
V10	3911	End
V10	5721	Start
V10	5908	Fail
V10	6160	End
V10	12346	Start
V10	12608	Fail
V10	12792	End
V10	24415	Start
V10	24698	Fail
V10	24815	End
