Inches	Specimen	MCycles
0.90	1.00	0.00
0.95	1.00	0.01
1.00	1.00	0.02
1.05	1.00	0.03
1.12	1.00	0.04
1.19	1.00	0.05
1.27	1.00	0.06
1.35	1.00	0.07
1.48	1.00	0.08
1.64	1.00	0.09
0.90	2.00	0.00
0.94	2.00	0.01
0.98	2.00	0.02
1.03	2.00	0.03
1.08	2.00	0.04
1.14	2.00	0.05
1.21	2.00	0.06
1.28	2.00	0.07
1.37	2.00	0.08
1.47	2.00	0.09
1.60	2.00	0.10
0.90	3.00	0.00
0.94	3.00	0.01
0.98	3.00	0.02
1.03	3.00	0.03
1.08	3.00	0.04
1.13	3.00	0.05
1.19	3.00	0.06
1.26	3.00	0.07
1.35	3.00	0.08
1.46	3.00	0.09
1.58	3.00	0.10
1.77	3.00	0.11
0.90	4.00	0.00
0.94	4.00	0.01
0.98	4.00	0.02
1.03	4.00	0.03
1.07	4.00	0.04
1.12	4.00	0.05
1.19	4.00	0.06
1.25	4.00	0.07
1.34	4.00	0.08
1.43	4.00	0.09
1.55	4.00	0.10
1.73	4.00	0.11
0.90	5.00	0.00
0.94	5.00	0.01
0.98	5.00	0.02
1.03	5.00	0.03
1.07	5.00	0.04
1.12	5.00	0.05
1.19	5.00	0.06
1.24	5.00	0.07
1.34	5.00	0.08
1.43	5.00	0.09
1.55	5.00	0.10
1.71	5.00	0.11
0.90	6.00	0.00
0.94	6.00	0.01
0.98	6.00	0.02
1.03	6.00	0.03
1.07	6.00	0.04
1.12	6.00	0.05
1.18	6.00	0.06
1.23	6.00	0.07
1.33	6.00	0.08
1.41	6.00	0.09
1.51	6.00	0.10
1.68	6.00	0.11
0.90	7.00	0.00
0.94	7.00	0.01
0.98	7.00	0.02
1.02	7.00	0.03
1.07	7.00	0.04
1.11	7.00	0.05
1.17	7.00	0.06
1.23	7.00	0.07
1.32	7.00	0.08
1.41	7.00	0.09
1.52	7.00	0.10
1.66	7.00	0.11
0.90	8.00	0.00
0.93	8.00	0.01
0.97	8.00	0.02
1.00	8.00	0.03
1.06	8.00	0.04
1.11	8.00	0.05
1.17	8.00	0.06
1.23	8.00	0.07
1.30	8.00	0.08
1.39	8.00	0.09
1.49	8.00	0.10
1.62	8.00	0.11
0.90	9.00	0.00
0.92	9.00	0.01
0.97	9.00	0.02
1.01	9.00	0.03
1.05	9.00	0.04
1.09	9.00	0.05
1.15	9.00	0.06
1.21	9.00	0.07
1.28	9.00	0.08
1.36	9.00	0.09
1.44	9.00	0.10
1.55	9.00	0.11
1.72	9.00	0.12
0.90	10.00	0.00
0.92	10.00	0.01
0.96	10.00	0.02
1.00	10.00	0.03
1.04	10.00	0.04
1.08	10.00	0.05
1.13	10.00	0.06
1.19	10.00	0.07
1.26	10.00	0.08
1.34	10.00	0.09
1.42	10.00	0.10
1.52	10.00	0.11
1.67	10.00	0.12
0.90	11.00	0.00
0.93	11.00	0.01
0.96	11.00	0.02
1.00	11.00	0.03
1.04	11.00	0.04
1.08	11.00	0.05
1.13	11.00	0.06
1.18	11.00	0.07
1.24	11.00	0.08
1.31	11.00	0.09
1.39	11.00	0.10
1.49	11.00	0.11
1.65	11.00	0.12
0.90	12.00	0.00
0.93	12.00	0.01
0.97	12.00	0.02
1.00	12.00	0.03
1.03	12.00	0.04
1.07	12.00	0.05
1.10	12.00	0.06
1.16	12.00	0.07
1.22	12.00	0.08
1.29	12.00	0.09
1.37	12.00	0.10
1.48	12.00	0.11
1.64	12.00	0.12
0.90	13.00	0.00
0.92	13.00	0.01
0.97	13.00	0.02
0.99	13.00	0.03
1.03	13.00	0.04
1.06	13.00	0.05
1.10	13.00	0.06
1.14	13.00	0.07
1.20	13.00	0.08
1.26	13.00	0.09
1.31	13.00	0.10
1.40	13.00	0.11
1.52	13.00	0.12
0.90	14.00	0.00
0.93	14.00	0.01
0.96	14.00	0.02
1.00	14.00	0.03
1.03	14.00	0.04
1.07	14.00	0.05
1.12	14.00	0.06
1.16	14.00	0.07
1.20	14.00	0.08
1.26	14.00	0.09
1.30	14.00	0.10
1.37	14.00	0.11
1.45	14.00	0.12
