Unit	Days	Event
9199	39	Replacement
9213	22	Replacement
9236	19	Replacement
9216	54	Replacement
9200	91	Replacement
9235	61	Replacement
9201	119	Replacement
9239	93	Replacement
9201	148	Replacement
9176	203	Replacement
9176	211	Replacement
9190	173	Replacement
9209	192	Replacement
9226	194	Replacement
9236	185	Replacement
9176	277	Replacement
9238	187	Replacement
9197	242	Replacement
9182	293	Replacement
9239	205	Replacement
9207	250	Replacement
9201	306	Replacement
9239	264	Replacement
9176	373	Replacement
9212	369	Replacement
9203	382	Replacement
9199	464	End
9213	447	End
9236	419	End
9216	441	End
9200	462	End
9235	419	End
9201	461	End
9239	415	End
9176	511	End
9190	470	End
9209	448	End
9226	432	End
9238	416	End
9197	464	End
9182	503	End
9207	434	End
9212	448	End
9203	460	End


