Pressure	Time	Event	Count
4300	2.2	1	1
4300	4.0	1	1
4300	4.0	1	1
4300	4.6	1	1
4300	6.1	1	1
4300	6.7	1	1
4300	7.9	1	1
4300	8.3	1	1
4300	8.5	1	1
4300	9.1	1	1
4300	10.2	1	1
4300	12.5	1	1
4300	13.3	1	1
4300	14.0	1	1
4300	14.6	1	1
4300	15.0	1	1
4300	18.7	1	1
4300	22.1	1	1
4300	45.9	1	1
4300	55.4	1	1
4300	61.2	1	1
4300	87.5	1	1
4300	98.2	1	1
4300	101.0	1	1
4300	111.4	1	1
4300	144.0	1	1
4300	158.7	1	1
4300	243.9	1	1
4300	254.1	1	1
4300	444.4	1	1
4300	590.4	1	1
4300	638.2	1	1
4300	755.2	1	1
4300	952.2	1	1
4300	1108.2	1	1
4300	1148.5	1	1
4300	1569.3	1	1
4300	1750.6	1	1
4300	1802.1	1	1
4000	19.1	1	1
4000	24.3	1	1
4000	69.8	1	1
4000	71.2	1	1
4000	136.0	1	1
4000	199.1	1	1
4000	403.7	1	1
4000	432.2	1	1
4000	453.4	1	1
4000	514.1	1	1
4000	514.2	1	1
4000	541.6	1	1
4000	544.9	1	1
4000	554.2	1	1
4000	664.5	1	1
4000	694.1	1	1
4000	876.7	1	1
4000	930.4	1	1
4000	1254.9	1	1
4000	1275.6	1	1
4000	1536.8	1	1
4000	1755.5	1	1
4000	2046.2	1	1
4000	6177.5	1	1
3700	225.2	1	1
3700	503.6	1	1
3700	1087.7	1	1
3700	1134.3	1	1
3700	1824.3	1	1
3700	1920.1	1	1
3700	2383.0	1	1
3700	2442.5	1	1
3700	3708.9	1	1
3700	3708.9	1	1
3700	4908.9	1	1
3700	5556.0	1	1
3700	6271.1	1	1
3700	7332.0	1	1
3700	7918.7	1	1
3700	7996.0	1	1
3700	9240.3	1	1
3700	9973.0	1	1
3700	9973.0	0	6
3400	4000.0	1	1
3400	5376.0	1	1
3400	7320.0	1	1
3400	8616.0	1	1
3400	9120.0	1	1
3400	9120.0	0	16
