PenID	Batch	celsius	Days	Sample	Wafer	Pmax	Locus	Event
BFQG1S	PA	23.00	0.00	2.00	8.00	67.20	0.00	Failure
BFQG2M	PA	23.00	0.00	3.00	9.00	88.20	2.00	Right
BFQFW1	PA	23.00	0.00	5.00	10.00	92.70	0.00	Failure
unknown	PA	23.00	0.00	6.00	10.00	85.80	1.00	Right
BFQG77	PA	23.00	60.00	1.00	8.00	85.80	0.00	Failure
BFQG64	PA	23.00	60.00	2.00	8.00	89.10	0.00	Failure
BFQFWH	PA	23.00	60.00	3.00	9.00	89.20	0.00	Failure
BFQG1G	PA	23.00	60.00	4.00	9.00	89.20	0.00	Failure
BFQFSX	PA	23.00	60.00	5.00	10.00	89.00	0.00	Failure
BFQFS4	PA	23.00	60.00	6.00	10.00	76.90	2.00	Right
BFQG5H	PA	23.00	90.00	1.00	8.00	87.50	1.00	Right
BFQG79	PA	23.00	90.00	2.00	8.00	75.80	1.00	Right
BFQG1B	PA	23.00	90.00	3.00	9.00	94.70	1.00	Right
BFQG01	PA	23.00	90.00	4.00	9.00	46.60	2.00	Right
BFQGJD	PA	23.00	90.00	5.00	10.00	87.10	1.00	Right
BFQ6F2	PA	23.00	90.00	6.00	10.00	81.30	1.00	Right
BFQG5D	PA	40.00	1.50	1.00	8.00	69.20	2.00	Right
BFQG4W	PA	40.00	1.50	2.00	8.00	34.70	2.00	Right
BFQFZ8	PA	40.00	1.50	3.00	9.00	90.80	2.00	Right
BFQFXQ	PA	40.00	1.50	4.00	9.00	91.40	0.00	Failure
BFQFT8	PA	40.00	1.50	5.00	10.00	33.90	2.00	Right
BFQFQ3	PA	40.00	1.50	6.00	10.00	31.40	2.00	Right
BFQG55	PA	40.00	8.00	1.00	8.00	84.10	1.00	Right
BFQG5K	PA	40.00	8.00	2.00	8.00	76.60	0.00	Failure
BFQFWM	PA	40.00	8.00	3.00	9.00	81.30	0.00	Failure
BFQG06	PA	40.00	8.00	4.00	9.00	83.20	0.00	Failure
BFQFTT	PA	40.00	8.00	5.00	10.00	82.10	0.00	Failure
BFQFSZ	PA	40.00	8.00	6.00	10.00	78.40	0.00	Failure
BFQG98	PA	40.00	16.00	2.00	8.00	74.10	0.00	Failure
BFQG0X	PA	40.00	16.00	3.00	9.00	72.00	0.00	Failure
BFQFW5	PA	40.00	16.00	4.00	9.00	77.30	0.00	Failure
BFQFSL	PA	40.00	16.00	5.00	10.00	78.30	0.00	Failure
BFQFSR	PA	40.00	16.00	6.00	10.00	74.90	0.00	Failure
BFQG3B	PA	40.00	32.00	2.00	8.00	64.10	0.00	Failure
BFQG24	PA	40.00	32.00	3.00	9.00	74.60	0.00	Failure
BFQFX9	PA	40.00	32.00	4.00	9.00	50.80	0.00	Failure
BFQFTC	PA	40.00	32.00	5.00	10.00	65.00	0.00	Failure
BFQFTB	PA	40.00	32.00	6.00	10.00	69.00	0.00	Failure
BFQG75	PA	40.00	56.00	1.00	8.00	61.00	0.00	Failure
BFQG7P	PA	40.00	56.00	2.00	8.00	42.10	2.00	Right
BFQFZZ	PA	40.00	56.00	3.00	9.00	53.80	0.00	Failure
BFQG28	PA	40.00	56.00	4.00	9.00	67.60	0.00	Failure
BFQFPS	PA	40.00	56.00	5.00	10.00	62.00	0.00	Failure
BFQFV4	PA	40.00	56.00	6.00	10.00	51.10	1.00	Right
BFQG6B	PA	40.00	84.00	2.00	8.00	61.00	0.00	Failure
BFQFZX	PA	40.00	84.00	3.00	9.00	53.80	0.00	Failure
BFQFZ6	PA	40.00	84.00	4.00	9.00	52.10	0.00	Failure
BFQFTG	PA	40.00	84.00	5.00	10.00	45.50	1.00	Right
BFQFRS	PA	40.00	84.00	6.00	10.00	63.20	0.00	Failure
BFQG33	PA	50.00	0.50	1.00	8.00	96.50	1.00	Right
BFQG47	PA	50.00	0.50	2.00	8.00	57.60	2.00	Right
BFQG1X	PA	50.00	0.50	3.00	9.00	92.20	0.00	Failure
BFQG2H	PA	50.00	0.50	4.00	9.00	36.60	2.00	Right
BFQFS2	PA	50.00	0.50	5.00	10.00	26.50	2.00	Right
BFQFP9	PA	50.00	0.50	6.00	10.00	87.70	0.00	Failure
BFQG2P	PA	50.00	4.00	1.00	8.00	68.50	1.00	Right
BFQG5G	PA	50.00	4.00	2.00	8.00	57.00	0.00	Failure
BFQG1V	PA	50.00	4.00	3.00	9.00	62.50	0.00	Failure
BFQFX0	PA	50.00	4.00	4.00	9.00	67.80	0.00	Failure
BFQFS5	PA	50.00	4.00	5.00	10.00	66.50	0.00	Failure
BFQFQ0	PA	50.00	4.00	6.00	10.00	71.00	0.00	Failure
BFQG4K	PA	50.00	8.00	1.00	8.00	41.70	0.00	Failure
BFQG8B	PA	50.00	8.00	2.00	8.00	53.10	0.00	Failure
BFQFZC	PA	50.00	8.00	3.00	9.00	63.40	0.00	Failure
BFQFZJ	PA	50.00	8.00	4.00	9.00	54.10	0.00	Failure
BFQFTL	PA	50.00	8.00	5.00	10.00	60.30	0.00	Failure
BFQFT2	PA	50.00	8.00	6.00	10.00	58.10	0.00	Failure
BFQG0H	PA	50.00	16.00	3.00	9.00	27.10	0.00	Failure
BFQG2Q	PA	50.00	16.00	4.00	9.00	33.20	0.00	Failure
BFQFV0	PA	50.00	16.00	5.00	10.00	33.70	0.00	Failure
BFQFRW	PA	50.00	16.00	6.00	10.00	37.50	0.00	Failure
BFQG7Z	PA	50.00	28.00	1.00	8.00	23.80	0.00	Failure
BFQG3Z	PA	50.00	28.00	2.00	8.00	26.10	0.00	Failure
BFQFW2	PA	50.00	28.00	3.00	9.00	22.90	0.00	Failure
BFQFVV	PA	50.00	28.00	4.00	9.00	26.20	0.00	Failure
BFQFT7	PA	50.00	28.00	5.00	10.00	24.40	0.00	Failure
BFQFSV	PA	50.00	28.00	6.00	10.00	23.80	0.00	Failure
BFQG4P	PA	50.00	42.00	1.00	8.00	16.40	0.00	Failure
BFQG5V	PA	50.00	42.00	2.00	8.00	14.60	0.00	Failure
BFQFWK	PA	50.00	42.00	3.00	9.00	15.60	0.00	Failure
BFQFXS	PA	50.00	42.00	4.00	9.00	14.20	0.00	Failure
BFQFS6	PA	50.00	42.00	5.00	10.00	18.90	1.00	Right
BFQFP8	PA	50.00	42.00	6.00	10.00	16.30	0.00	Failure
BFQG40	PA	50.00	84.00	1.00	8.00	15.00	0.00	Failure
BFQG5B	PA	50.00	84.00	2.00	8.00	9.20	0.00	Failure
BFQFZ5	PA	50.00	84.00	3.00	9.00	18.10	0.00	Failure
BFQFTX	PA	50.00	84.00	4.00	9.00	14.40	0.00	Failure
BFQFS9	PA	50.00	84.00	5.00	10.00	7.40	0.00	Failure
BFQFRP	PA	50.00	84.00	6.00	10.00	16.80	0.00	Failure
BFQG71	PA	60.00	0.50	1.00	8.00	79.50	0.00	Failure
BFQG6S	PA	60.00	0.50	2.00	8.00	59.20	2.00	Right
BFQG20	PA	60.00	0.50	3.00	9.00	83.10	0.00	Failure
BFQG1Q	PA	60.00	0.50	4.00	9.00	82.30	0.00	Failure
BFQFT3	PA	60.00	0.50	5.00	10.00	80.60	0.00	Failure
BFQFTR	PA	60.00	0.50	6.00	10.00	68.30	1.00	Right
BFQG4N	PA	60.00	2.00	1.00	8.00	58.10	0.00	Failure
BFQFW9	PA	60.00	2.00	3.00	9.00	65.20	0.00	Failure
BFQFZ1	PA	60.00	2.00	4.00	9.00	54.50	0.00	Failure
BFQFV7	PA	60.00	2.00	5.00	10.00	67.60	0.00	Failure
BFQFT4	PA	60.00	2.00	6.00	10.00	69.80	0.00	Failure
BFQG66	PA	60.00	4.00	1.00	8.00	56.60	0.00	Failure
BFQG7V	PA	60.00	4.00	2.00	8.00	51.40	0.00	Failure
BFQG05	PA	60.00	4.00	3.00	9.00	55.20	0.00	Failure
BFQFX1	PA	60.00	4.00	4.00	9.00	49.30	0.00	Failure
BFQFSJ	PA	60.00	4.00	5.00	10.00	54.90	0.00	Failure
BFQFSQ	PA	60.00	4.00	6.00	10.00	58.40	0.00	Failure
BFQG4F	PA	60.00	8.00	1.00	8.00	36.60	0.00	Failure
BFQG8Q	PA	60.00	8.00	2.00	8.00	32.80	0.00	Failure
BFQG8Q	PA	60.00	8.00	3.00	9.00	36.00	0.00	Failure
BFQFZV	PA	60.00	8.00	4.00	9.00	35.00	0.00	Failure
BFQFS1	PA	60.00	8.00	5.00	10.00	38.10	0.00	Failure
BFQFP6	PA	60.00	8.00	6.00	10.00	34.60	0.00	Failure
BFQG80	PA	60.00	14.00	1.00	8.00	26.00	0.00	Failure
BFQG5F	PA	60.00	14.00	2.00	8.00	27.10	0.00	Failure
BFQG02	PA	60.00	14.00	3.00	9.00	23.20	0.00	Failure
BFQG0D	PA	60.00	14.00	4.00	9.00	28.10	0.00	Failure
BFQFSP	PA	60.00	14.00	5.00	10.00	28.20	0.00	Failure
BFQFT9	PA	60.00	14.00	6.00	10.00	30.30	0.00	Failure
BFQG5C	PA	60.00	21.00	1.00	8.00	19.80	0.00	Failure
BFQG8R	PA	60.00	21.00	2.00	8.00	14.80	0.00	Failure
BFQFZL	PA	60.00	21.00	3.00	9.00	17.00	0.00	Failure
BFQG21	PA	60.00	21.00	4.00	9.00	14.60	0.00	Failure
BFQFQ2	PA	60.00	21.00	5.00	10.00	21.00	0.00	Failure
BFQFRV	PA	60.00	21.00	6.00	10.00	22.60	0.00	Failure
BFQG3S	PA	60.00	42.00	1.00	8.00	10.50	0.00	Failure
BFQG6Q	PA	60.00	42.00	2.00	8.00	9.50	0.00	Failure
BFQG11	PA	60.00	42.00	3.00	9.00	11.40	0.00	Failure
BFQG1T	PA	60.00	42.00	4.00	9.00	7.90	0.00	Failure
BFQFTD	PA	60.00	42.00	5.00	10.00	9.30	0.00	Failure
BFQFT0	PA	60.00	42.00	6.00	10.00	8.80	0.00	Failure
BFQG4D	PA	70.00	0.50	1.00	8.00	67.80	0.00	Failure
BFQG41	PA	70.00	0.50	2.00	8.00	72.70	0.00	Failure
BFQFVC	PA	70.00	0.50	3.00	9.00	56.70	1.00	Right
BFQFWL	PA	70.00	0.50	4.00	9.00	70.10	0.00	Failure
BFQFSK	PA	70.00	0.50	5.00	10.00	74.30	0.00	Failure
BFQFS3	PA	70.00	0.50	6.00	10.00	76.60	0.00	Failure
BFQG6D	PA	70.00	1.00	1.00	8.00	51.30	0.00	Failure
BFQG6K	PA	70.00	1.00	2.00	8.00	58.10	0.00	Failure
BFQG2N	PA	70.00	1.00	3.00	9.00	53.00	0.00	Failure
BFQFWJ	PA	70.00	1.00	4.00	9.00	49.50	0.00	Failure
BFQFSC	PA	70.00	1.00	5.00	10.00	67.50	0.00	Failure
BFQFPJ	PA	70.00	1.00	6.00	10.00	65.30	0.00	Failure
BFQG99	PA	70.00	2.00	1.00	8.00	47.80	0.00	Failure
