Strain	Cycles	Event
0.0036	3143468	Censored
0.0037	551160	Failed
0.0037	1047000	Failed
0.0037	1055400	Failed
0.0037	1212300	Failed
0.0037	2658712	Failed
0.0037	5000000	Censored
0.0039	2762705	Failed
0.0039	3851379	Failed
0.0039	5175650	Censored
0.0040	168170	Failed
0.0040	188990	Failed
0.0040	5229933	Censored
0.0041	101623	Failed
0.0041	134750	Failed
0.0041	436761	Failed
0.0042	70092	Failed
0.0042	108020	Failed
0.0042	108598	Failed
0.0042	108598	Failed
0.0043	62223	Failed
0.0043	64952	Failed
0.0043	105390	Failed
0.0043	113480	Failed
0.0043	118180	Failed
0.0043	202300	Failed
0.0043	213020	Failed
0.0043	213020	Failed
0.0043	239854	Failed
0.0044	74260	Failed
0.0044	74660	Failed
0.0044	87373	Failed
0.0044	124350	Failed
0.0044	181930	Failed
0.0044	182410	Failed
0.0045	68143	Failed
0.0045	73200	Failed
0.0045	100030	Failed
0.0045	118364	Failed
0.0045	119540	Failed
0.0046	69766	Failed
0.0046	81138	Failed
0.0046	96799	Failed
0.0046	72120	Failed
0.0047	79520	Failed
0.0047	86420	Failed
0.0047	88225	Failed
0.0048	91560	Failed
0.0048	95610	Failed
0.0048	111900	Failed
0.0049	59246	Failed
0.0049	64014	Failed
0.0049	75169	Failed
0.0049	88070	Failed
0.0050	48748	Failed
0.0050	48748	Failed
0.0050	68029	Failed
0.0050	68029	Failed
0.0051	59096	Failed
0.0051	105660	Failed
0.0052	44216	Failed
0.0052	45375	Failed
0.0052	47467	Failed
0.0053	25893	Failed
0.0053	25893	Failed
0.0053	44325	Failed
0.0053	49806	Failed
0.0053	85471	Failed
0.0053	39401	Failed
0.0054	41944	Failed
0.0054	54300	Failed
0.0054	54300	Failed
0.0054	55503	Failed
0.0054	65511	Failed
0.0054	71888	Failed
0.0054	72895	Failed
0.0055	27772	Failed
0.0055	27772	Failed
0.0055	52800	Failed
0.0056	49298	Failed
0.0056	49298	Failed
0.0056	53668	Failed
0.0056	53668	Failed
0.0057	30702	Failed
0.0057	30702	Failed
0.0057	36193	Failed
0.0057	36193	Failed
0.0057	43898	Failed
0.0057	43898	Failed
0.0058	33313	Failed
0.0058	40540	Failed
0.0058	40540	Failed
0.0058	71425	Failed
0.0059	35198	Failed
0.0060	32100	Failed
0.0060	46898	Failed
0.0060	63117	Failed
0.0060	70952	Failed
0.0060	85138	Failed
0.0061	43128	Failed
0.0061	56634	Failed
0.0062	29290	Failed
