kcycles	kstrain	Event
138.031	6.900	Failed
1037.226	5.200	Censored
1.066	21.600	Failed
11.518	12.300	Failed
181.545	7.000	Failed
1057.643	5.200	Censored
1.081	20.800	Failed
9.895	12.500	Failed
8.156	14.200	Failed
1.874	20.700	Failed
1282.954	6.000	Censored
578.500	6.800	Failed
29.032	9.900	Failed
183.760	7.700	Failed
551.047	6.800	Failed
26.892	9.800	Failed
7.948	13.400	Failed
1.914	20.300	Failed
222.166	7.400	Failed
1029.875	6.000	Censored
708.664	6.700	Failed
738.823	6.700	Failed
7.755	14.400	Failed
28.178	10.400	Failed
950.796	6.500	Failed
1.722	22.100	Failed
721.634	7.700	Failed
1020.891	6.200	Censored
1300.136	6.400	Censored
894.458	7.300	Failed
440.775	6.800	Failed
2.286	21.400	Failed
6.904	14.300	Failed
1021.841	6.300	Censored
1028.038	6.300	Censored
33.214	10.400	Failed
1020.891	7.300	Censored
1336.183	6.400	Censored
542.305	7.700	Failed
717.451	7.200	Failed
106.195	7.600	Failed
1020.892	5.000	Censored
2.006	19.900	Failed
13.317	11.300	Failed
14.251	10.900	Failed
1.654	18.800	Failed
1066.832	4.800	Censored
130.858	7.200	Failed
10.079	11.700	Failed
1110.066	5.200	Failed
1088.241	5.700	Censored
63.848	7.500	Failed
3.336	15.100	Failed
8.457	11.700	Failed
1.579	19.900	Failed
1.337	20.200	Failed
102.193	8.200	Failed
627.834	5.900	Failed
20.965	9.200	Failed
34.191	8.100	Failed
1026.445	5.200	Censored
1263.659	6.000	Censored
1039.737	6.300	Censored
1034.776	5.900	Censored
513.138	8.000	Failed
11.910	12.200	Failed
3.257	14.700	Failed
2.103	19.500	Failed
1.737	19.200	Failed
146.440	8.100	Failed
20.995	9.800	Failed
7.728	12.000	Failed
178.888	8.100	Failed
1.256	19.500	Failed
6.231	12.300	Failed
1.607	20.400	Failed
6.838	12.300	Failed
146.011	8.100	Failed
64.079	7.900	Failed
1049.048	7.900	Censored
50.636	9.400	Failed
669.002	8.900	Failed
1.309	21.000	Failed
5.157	12.800	Failed
1028.038	7.700	Censored
1041.309	7.800	Censored
1127.585	7.900	Censored
274.120	7.900	Failed
4.890	12.600	Failed
1.018	21.400	Failed
88.552	8.200	Failed
43.055	9.200	Failed
1402.817	7.900	Censored
1115.390	7.600	Censored
1092.252	7.900	Censored
1021.198	7.500	Censored
